disease,metric,country_iso3,date,value,unit,source,freq
measles,immunization,LKA,7/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,7/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,7/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,8/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,8/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,8/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,8/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,9/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,9/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,9/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,9/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,10/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,10/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,10/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,10/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,11/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,11/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,11/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,11/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
tuberculosis,incidence,LKA,12/1/2024,59,per_100000,World Bank SH.TBS.INCD (interpolated),M
measles,immunization,LKA,12/1/2024,99.5,%,World Bank SH.IMM.MEAS (interpolated),M
hiv,prevalence_15_49,LKA,12/1/2024,0.09,%,World Bank SH.DYN.AIDS.ZS (interpolated),M
malaria,incidence,LKA,12/1/2024,0,per_1000_at_risk,World Bank SH.MLR.INCD.P3 (interpolated),M
